id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,date
4825347420328309,MaDoW1npj,7733485186,这辈子不想学高等数学,无畏NoFear今天开熏去做了特别有意义的事情抗疫志愿者好开熏在这里留下痕迹等于说给七七听了希望疫情消散希望大家给我们小小志愿者加油！,,,,,0,1,4,2022-10-16 23:58:00,无畏NoFear超话,['https://wx3.sinaimg.cn/large/008rmUM2gy1h77klvy568j30u0140h04.jpg'],,,2022-10-16
4825346753432879,MaDnRep31,3953727459,内蒙古医科大学,#内医新闻#【以艺战“疫”，齐心聚力——内医大“抗疫有我”主题作品展】O以艺战“疫”，齐心聚力——内医大“抗疫有我”主题作品展,,,,内医新闻,0,0,2,2022-10-16 23:56:00,iPhone客户端,"['https://wx4.sinaimg.cn/large/eba917e3ly1h77kgy4c8sj20f01bwabz.jpg', 'https://wx4.sinaimg.cn/large/eba917e3ly1h77kgyc6tnj20c50h6di5.jpg', 'https://wx3.sinaimg.cn/large/eba917e3ly1h77kgykej1j20fe0a1ab5.jpg', 'https://wx3.sinaimg.cn/large/eba917e3ly1h77kgyusn8j20fe0rcq6e.jpg', 'https://wx1.sinaimg.cn/large/eba917e3ly1h77kgz40kpj20fe0kjabp.jpg', 'https://wx4.sinaimg.cn/large/eba917e3ly1h77kgzev1fj20fe0amjtn.jpg', 'https://wx2.sinaimg.cn/large/eba917e3ly1h77kgzpgvkj20u00ck43a.jpg', 'https://wx3.sinaimg.cn/large/eba917e3ly1h77kgzzmggj20fe0lrq5n.jpg', 'https://wx2.sinaimg.cn/large/eba917e3ly1h77kh08br1j20fe0kgq3n.jpg']",,,2022-10-16
4825346538997024,MaDnvBKxi,6985659083,_寄烟火与花束,day6过度渴望招致完全失望破折号明世隐#同心抗疫共克时艰#L_寄烟火与花束的微博视频,,,,同心抗疫 共克时艰,0,0,0,2022-10-16 23:55:00,微博视频号,,"http://f.video.weibocdn.com/u0/8nhiGEP9gx0802s8z6N2010412003kK60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1677735880&ssig=URRu%2Bkr%2FZe&KID=unistore,video",,2022-10-16
4825345218314977,MaDlnyT6x,7468383363,Huisuesue,#喜欢德艺双馨的优秀演员歌手肖战#肖战最好的你超话，今天为肖战签到。XZ#肖战我喜欢你#喜欢善良真诚，坦荡通透，三观超正，倾心敬业，拼搏努力，颜值傲姿音质+有趣的灵魂与崇高的人品，演绎实力与个人魅力都出类拔萃，影视剧歌舞样样都出彩的肖战。肖战无愧优秀演员歌手的称号。很高兴因为喜欢肖战有缘聚在这里。有幸和不忘初心，心智清醒的朋友粘在一起加油，继续集中精力专注宣传自家肖战，做好家务。一切#为肖战的大好做正确的事#，守住属于肖战的荣誉，守住肖战各项的第一。感谢珍惜为之不辞辛苦产出付出贡献众多，给与虾团力量和方向的忠虾。珍惜守护来之不易的家境，团结才能变强。一切*#为肖战的大好做正确的事#*，和肖战一起加油，披荆斩棘闯世界！**烦请用几秒钟到#肖战超话#签个到，感谢！三生有幸遇见德艺双馨的优秀演员歌手肖战。他总是不断给我们带来正能量和视听的惊喜。应中秋快乐的节气，真高兴见到工作室发放的最新版的#日常见肖战#。看到骑着自行车自在的疾驰在乡间小路上的肖战，又见那位清纯快活，朝气蓬勃的美少年。看到海边漫步嬉笑玩耍，童心未泯的肖战，真为他开心而开心。看到深潜在泳池里自由遨游的肖战尽显完美的肌肉线条，高标比率好身材，活力四射的荷尔蒙，非凡无比的个人魅力，直接电到了！时常能看到阳光帅气，英俊飒爽，开心有趣，其乐融融的肖战，真爽，真幸福！无限可能的肖战，面面都做到极致，个人魅力四射！也不禁对他那极度自律，苛刻反复的练就，坚韧不拔的毅力钦佩不已！肖战是我们的唯一专注！***期待早日看到#肖战玉骨遥#见到#肖战时影#神官大人。***期待经过野火淬炼后再生的#肖战肖春生##肖战正能量优秀榜样#肖战总是不断的热心公益，传递善意和爱心，传递正能量，积极抗疫救灾，捐款捐物，给需要帮助的人送去温暖。肖战粉丝紧随肖战热心公益传递爱心，是持续做公益捐款捐物公益贡献最多的粉丝群体，总共捐款已有2.2亿多元。社会有肖战和爱他的小飞侠真好！点赞31城辛苦做出公益贡献的小飞侠！支持#肖战滴露品牌代言人#，用#滴露消毒喷雾#XZ#随时一喷，消毒无忧#，一喷就杀菌去味消毒，方便易用，随时，即时！和肖战一起开启真正便捷安全健康的新生活。经常见到活泼清爽无忧快乐的肖战就开心！家有滴露生活就安心！@X玖少年团肖战DAYTOY#肖战是德艺双馨的优秀演员歌手#XZ#肖战正能量优秀榜样#支持#肖战好来亚太区品牌代言人#，用#DARLIE好来#，保持口腔卫生，洁净满口牙齿，自豪展现自信的笑颜！支持#肖战rio全球品牌代言人#。与肖战一起云对杯，和好友小聚共享RIO清爽低度伏特加的醇味香气与清甜果汁碰撞的丰富味道，余味无穷，我乐融融。让特别的日子过得更清爽，更愉快，更有凝聚力！支持#肖战安热沙品牌代言人#，户外活动使用#安热沙换光瓶#，尽享明媚阳光，吸收有益光线，滋养健康肤色，绽放个性风采。请记着戴上陌森墨镜，保护好眼睛吆！支持肖战代言，做强肖战后盾，助力肖战演艺事业更上一层楼。期待肖战塑造更多的经典人物！#肖战我们喜欢粘着你#。#身体是逐梦的本钱#愿肖战剧里剧外一定要珍惜自己，注意安全，果断采取保护措施，保护好自己。进食保证身体健康所需营养，水分的平衡十分重要。健康轻松应战才有持攀高峰多创佳绩的可能！@X玖少年团肖战DAYTOY#肖战是德艺双馨的优秀演员歌手#XZ#肖战正能量优秀榜样#(PC超话签到帖)。,,,X玖少年团肖战DAYTOY,"喜欢德艺双馨的优秀演员歌手肖战,肖战我喜欢你,为肖战的大好做正确的事,肖战超话,日常见肖战,肖战玉骨遥,肖战时影,肖战肖春生,肖战正能量优秀榜样,肖战滴露品牌代言人,滴露消毒喷雾,随时一喷，消毒无忧,肖战是德艺双馨的优秀演员歌手,肖战好来亚太区品牌代言人,DARLIE好来,肖战rio全球品牌代言人,肖战安热沙品牌代言人,安热沙换光瓶,肖战我们喜欢粘着你,身体是逐梦的本钱",0,0,0,2022-10-16 23:50:00,肖战最好的你超话,,,,2022-10-16
4825344668336759,MaDkuyYLR,2963759874,故乡再无春和秋,累到想吐的周日周六晚上接到电话说隔天早上八点去隔壁镇支援抗疫当时还在外婆家呢本来今天高高兴兴所以意味着我六点半前就要起床好家伙昨晚1点半睡5点多被风扇冷醒然后睡不着了别人透支信用卡我透支寿命👋8点到单位9点到隔壁镇守核酸点守到来了两队民间组织太多人了于是10点我们被发配守卡口一直到下午三点多坐在没背靠的椅子上差点睡过去晚上6点钟到家开车还晕车缓了一个小时才感觉到肚子饿煮了饺子7点多同事叫去剪头发我留了一年多一夜回到解放前tony老师说剪那么长的时候明明不是笔划到这的算了好吹头………我再开车去二中那边我就是傻杯,,,,,0,2,0,2022-10-16 23:48:00,iPhone客户端,,,,2022-10-16
4825344357698390,MaDjZwiHA,6973549670,渥太华冰刀,渥太华抗疫第971天14°C，多云🌤️上班偷懒喝咖啡，看一个黑白混血狗屎修理卖零食的自动机，双方点头致意后，他看看我胸牌，说“X？这是你名字吗？怎么读？”我当然知道这是黑人调侃，就做了个你没必要搞清楚的动作，然后眼睛自然望向他的胸牌，我觉察到他有躲闪，原来他叫cloudy😄，“多云？这是你名字？这也算个名字？为什么不干脆叫sunshine？”他自己也忍不住笑了。我接着调侃说，“你有妹妹的话估计会叫drizzle吧😂，那天气做名字不错！…你们家最喜欢的电视节目是天气预报吧？”😂😂,,,,,0,0,0,2022-10-16 23:46:00,iPhone客户端,['https://wx4.sinaimg.cn/large/007BWiPAgy1h77k796r52j30hs0qojsw.jpg'],,,2022-10-16
4825343708628600,MaDiWAcGY,6166892941,icecream-克克,永葆一颗一心为民的初心。在疫情防控中，我们党始终把人民的生命安全和身体健康“置顶”，最大限度保护人民生命安全和身体健康，用实际行动践行“一心为民”的初心使命。面对当前复杂严峻的疫情形势，我们要不忘为民初心、发挥自身优势、投身抗疫一线，抓实抓细各项疫情防控措施，切实守好人民群众的安全和健康。要真情真意为民服务，通过线上线下等多种渠道，广泛收集群众在疫情期间遇到的吃穿用度、就医用药等方面的“急难愁盼”问题，及时帮助解决。特别是对于一些孤寡老人、残疾人等弱势群体，要重点关注、重点照顾，真正让群众在疫情中得到最暖心的帮助。,,,,,0,0,0,2022-10-16 23:44:00,iQOO Z1 5G性能先锋,,,,2022-10-16
4825343116446403,MaDhZr30f,7410550786,生活启示录198605,2022年最后两个半月，抗疫加油！L生活启示录198605的微博视频,,,,,0,0,0,2022-10-16 23:41:00,微博视频号,,"http://f.video.weibocdn.com/u0/03bd8vcqgx0802rbsYYU01041200clOb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1677736083&ssig=Zdbua46zfY&KID=unistore,video",,2022-10-16
4825342952343782,MaDhJ9PIW,6028228257,n-一个小可爱哇,在最好的年纪做了最有意义的事情～有幸成为一名医务工作者，守护一方平安！抗疫工作即将完美收官✊,,长沙,,,0,0,1,2022-10-16 23:41:00,iPhone客户端,"['https://wx1.sinaimg.cn/large/006zXPy1gy1h77k32miekj30u00u0dnf.jpg', 'https://wx2.sinaimg.cn/large/006zXPy1gy1h77k345z3zj30u00u0q8b.jpg', 'https://wx4.sinaimg.cn/large/006zXPy1gy1h77k2zygxsj30u014079i.jpg', 'https://wx4.sinaimg.cn/large/006zXPy1gy1h77k37a7kuj30u0184142.jpg', 'https://wx1.sinaimg.cn/large/006zXPy1gy1h77k38gmy5j30u00u0jv2.jpg', 'https://wx1.sinaimg.cn/large/006zXPy1gy1h77k3aac5pj30u0140n3r.jpg']",,,2022-10-16
4825342592419368,MaDh9a9o4,6407585223,于田网信发布-,乌苏党员干部抗疫：硬核担当冲锋“疫”线O网页链接,,,,,0,0,0,2022-10-16 23:39:00,新版微博 weibo.com,,,,2022-10-16
